,Boy,Girl,Year
0,110491,90993,1880
1,100743,91953,1881
2,113686,107847,1882
3,104627,112319,1883
4,114442,129020,1884
5,107799,133055,1885
6,110784,144533,1886
7,101413,145981,1887
8,120851,178622,1888
9,110580,178366,1889
10,111025,190376,1890
11,101191,185481,1891
12,122036,212339,1892
13,112318,212905,1893
14,115769,222921,1894
15,117395,233627,1895
16,119567,237918,1896
17,112757,234200,1897
18,122690,258768,1898
19,106210,233023,1899
20,150483,299800,1900
21,106469,239345,1901
22,122660,264076,1902
23,119233,261971,1903
24,128125,275364,1904
25,132312,291619,1905
26,133158,295303,1906
27,146829,318566,1907
28,154339,334313,1908
29,163998,347230,1909
30,194213,396502,1910
31,225970,418309,1911
32,429947,558117,1912
33,512566,624545,1913
34,654767,761576,1914
35,848594,983867,1915
36,890094,1044340,1916
37,925502,1081282,1917
38,1013504,1157646,1918
39,980136,1130130,1919
40,1064391,1198290,1920
41,1101463,1233048,1921
42,1088221,1200975,1922
43,1096158,1206369,1923
44,1132783,1248891,1924
45,1115944,1217382,1925
46,1110558,1185379,1926
47,1126875,1192399,1927
48,1107618,1153221,1928
49,1075534,1116517,1929
50,1097274,1125885,1930
51,1039451,1064620,1931
52,1044010,1067071,1932
53,991315,1007826,1933
54,1032398,1044109,1934
55,1041103,1048493,1935
56,1037063,1040309,1936
57,1066452,1063918,1937
58,1108962,1103340,1938
59,1106680,1096596,1939
60,1158985,1143393,1940
61,1228076,1207984,1941
62,1380857,1350600,1942
63,1426962,1395165,1943
64,1362664,1327153,1944
65,1345618,1307020,1945
66,1623821,1571225,1946
67,1829338,1772694,1947
68,1754424,1697793,1948
69,1773699,1710832,1949
70,1790549,1713151,1950
71,1882982,1800880,1951
72,1944564,1854608,1952
73,1971304,1880924,1953
74,2038027,1941857,1954
75,2059007,1955034,1955
76,2113638,2007432,1956
77,2155758,2044249,1957
78,2120705,2010952,1958
79,2133342,2023092,1959
80,2132359,2022018,1960
81,2122653,2017591,1961
82,2068669,1966565,1962
83,2031505,1927286,1963
84,1993060,1894740,1964
85,1860956,1765073,1965
86,1783729,1691945,1966
87,1744265,1650865,1967
88,1738661,1640215,1968
89,1789216,1686999,1969
90,1859245,1748175,1970
91,1769012,1663573,1971
92,1622477,1521150,1972
93,1559244,1458168,1973
94,1572993,1467416,1974
95,1562138,1457772,1975
96,1569843,1465106,1976
97,1643766,1533098,1977
98,1642479,1531789,1978
99,1722216,1605200,1979
100,1784390,1660147,1980
101,1791409,1667773,1981
102,1814611,1693053,1982
103,1792455,1670371,1983
104,1804440,1683380,1984
105,1847650,1720425,1985
106,1840797,1715074,1986
107,1866183,1738220,1987
108,1913203,1780268,1988
109,2000301,1843258,1989
110,2052946,1898046,1990
111,2019709,1874620,1991
112,1996687,1843509,1992
113,1960647,1808635,1993
114,1931454,1785304,1994
115,1903185,1758166,1995
116,1893802,1752560,1996
117,1884596,1740203,1997
118,1910749,1766358,1998
119,1919391,1773146,1999
120,1962969,1815110,2000
121,1941815,1799636,2001
122,1940301,1795741,2002
123,1974021,1825950,2003
124,1983505,1834856,2004
125,1995746,1846258,2005
126,2053406,1899526,2006
127,2073388,1920619,2007
128,2037751,1888607,2008
129,1981039,1834599,2009
130,1915942,1774758,2010
