,Index,Country,Weighted Matches,Rating
0,Pakistan,26,"7,365",26
1,England,16,"4,253",16
2,South Africa,16,"4,196",16
3,Australia,21,"5,471",21
4,India,28,"7,273",28
5,New Zealand,16,"4,056",16
6,Afghanistan,16,"3,849",16
7,Sri Lanka,18,"4,093",18
8,West Indies,21,"4,747",21
9,Bangladesh,16,"3,525",16
10,Nepal,8,"1,698",8
11,Scotland,11,"2,185",11
12,Zimbabwe,9,"1,730",9
13,Netherlands,9,"1,686",9
14,Ireland,19,"3,455",19
15,UAE,14,"2,527",14
16,Papua New Guinea,17,"2,920",17
17,Oman,5,774,5
18,Hong Kong,8,"1,213",8
19,Namibia,9,"1,273",9
20,Qatar,11,"1,421",11
21,Saudi Arabia,11,"1,331",11
22,Singapore,10,"1,181",10
23,Denmark,7,813,7
24,Canada,8,887,8
25,Jersey,8,851,8
26,Kuwait,7,727,7
27,Ghana,6,602,6
28,Kenya,9,851,9
29,Botswana,12,"1,120",12
30,United States,9,758,9
31,Austria,6,439,6
32,Malaysia,12,877,12
33,Germany,11,774,11
34,Guernsey,8,546,8
35,Uganda,10,678,10
36,Sweden,8,465,8
37,Tanzania,6,334,6
38,Nigeria,7,383,7
39,Luxembourg,6,328,6
40,Spain,9,479,9
41,Philippines,9,433,9
42,France,6,267,6
43,Belize,9,377,9
44,Peru,9,356,9
45,Bahrain,7,261,7
46,Mexico,12,426,12
47,Fiji,6,210,6
48,Samoa,6,205,6
49,Vanuatu,10,330,10
50,Panama,9,291,9
51,Belgium,9,290,9
52,Japan,10,317,10
53,Costa Rica,8,252,8
54,Thailand,10,313,10
55,Argentina,12,370,12
56,Hungary,6,180,6
57,Mozambique,12,352,12
58,Chile,10,249,10
59,Malawi,12,297,12
60,Israel,7,173,7
61,Bhutan,8,180,8
62,Finland,8,177,8
63,South Korea,10,217,10
64,Isle of Man,7,149,7
65,Malta,11,158,11
66,Bulgaria,5,68,5
67,Sierra Leone,5,61,5
68,Brazil,9,108,9
69,Czech Republic,10,91,10
70,Saint Helena,12,109,12
71,Maldives,8,63,8
72,Gibraltar,8,35,8
73,Myanmar,9,23,9
74,Indonesia,7,3,7
75,Lesotho,6,0,6
76,Rwanda,6,0,6
77,Swaziland,6,0,6
78,Gambia,6,0,6
79,China,11,0,11
