,BidNo,Item(s),Department name and address,Quantity,StartDate,EndDate
0,GEM/2019/B/228138,Desktop Computers,"Rajasthan
Energy And Non Conventional Energy Department Rajasthan
Se Mmc Jodhpur Vidhyut Vitran Nigam Limited",263,06-05-2019 06:54 PM,16-05-2019 05:00 PM
1,GEM/2019/RA/8309,Oxygen Concentrator,"Jammu & Kashmir
Health And Family Welfare Department Jammu And Kashmir
Medical Superintendent District Hospital Kulgam N/a",1,09-05-2019 02:43 PM,16-05-2019 05:00 PM
2,GEM/2019/B/230549,Laptop-Notebook,"Madhya Pradesh
Housing And Environment Department Madhya Pradesh
Regional Office Mppcb Dewas Madhya Pradesh Pollution Control Board (mpccb) Bhopal",1,09-05-2019 02:26 PM,16-05-2019 05:00 PM
3,GEM/2019/B/230554,Desktop Computers,"Ministry Of Defence
Department Of Defence
Info Sys N/a",19,09-05-2019 02:22 PM,16-05-2019 05:00 PM
4,GEM/2019/B/230556,Chairs-office,"Bihar
Education Department Bihar
Marwari College Bhagalpur 812007 N/a",30,09-05-2019 02:29 PM,16-05-2019 05:00 PM
5,GEM/2019/B/222371,All In One PC,"Ministry Of Labour And Employment
Na
Regional Office Kolkata Employees State Insurance Corporation (esic)",16,25-04-2019 05:43 PM,16-05-2019 05:00 PM
6,GEM/2019/B/228227,All In One PC,"Andaman & Nicobar
Governors Office(raj Bhavan)
South Andaman Lt. Gen. Governors Office, Andaman And Nicobar Island",2,07-05-2019 09:11 AM,16-05-2019 05:00 PM
7,GEM/2019/B/230565,Underpants Under Pant Thermal,"Ministry Of Home Affairs
Central Armed Police Forces
Fhq Ssb New Delhi Sashastra Seema Bal (ssb)",3082,09-05-2019 02:50 PM,16-05-2019 05:00 PM
8,GEM/2019/B/230568,Automotive Vehicles Pneumatic Tyres,"Ministry Of Defence
Department Of Defence
Assam N/a",4,09-05-2019 02:51 PM,16-05-2019 05:00 PM
9,GEM/2019/B/230574,Air Conditioner,"Ministry Of Chemicals And Fertilizers
Department Of Fertilizers
7th Floor A Wing Janpath Bhawan New Delhi 110001 N/a",1,09-05-2019 02:45 PM,16-05-2019 05:00 PM
